Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AK_50_AC_3,NOHAB,24,38632,19,0,0,0,23.25,0,25.5,27.5,17,7.25,1,0.25,8.5,2,1112.5,173,1397.75
L_AK_50_AC_3,NOHAB,24,38632,20,0.25,0,0,17.75,0,21.75,19.5,9.75,3.5,1.75,0,8.5,1.75,920,141.5,1146
L_AK_50_AC_3,NOHAB,24,38632,21,0,0,0,11.5,0,20.75,16.75,7,4.5,0.75,0,7.25,0.5,753.25,128.75,951
L_AK_50_AC_3,NOHAB,24,38632,22,2.5,0,0,15,0,23.5,20,10,2.75,0.5,0,11.25,1.25,722,170,978.75
L_AK_50_AC_3,NOHAB,24,38632,23,0.25,0,0,5.5,0,10.5,6.25,5.5,1.25,0.25,0,5,0.25,456.5,52.25,543.5
KR_14_CL_84_S,HABIL,34,71518,5,13.91666667,26.41666667,0,42.75,0,31.91666667,23.91666667,26.66666667,8.166666667,10.91666667,17,16.16666667,10.41666667,258.9166667,183.0833333,670.25
KR_14_CL_84_S,HABIL,34,71518,6,4.583333333,28.16666667,0,37.75,0,36.58333333,22.75,28.83333333,8.083333333,6.333333333,6,14.91666667,12.83333333,295.1666667,264.1666667,766.1666667
KR_14_CL_84_S,HABIL,34,71518,7,0.833333333,25.66666667,0,40,0,35.75,22.25,29.25,12,4.666666667,0.583333333,9.583333333,11.91666667,241.6666667,228.9166667,663.0833333
KR_14_CL_84_S,HABIL,34,71518,8,5.833333333,23,0,37.83333333,0,34.83333333,20.08333333,31.41666667,11,11.58333333,8.5,7.416666667,11,246.3333333,146.5833333,595.4166667
KR_14_CL_84_S,HABIL,34,71518,9,1.75,15.5,0,41.08333333,0,33.75,21.83333333,30.08333333,12.5,4.333333333,2.75,5.416666667,10.41666667,268.9166667,123.6666667,572
KR_14_CL_84_S,HABIL,34,71518,10,18.83333333,11,0,32.83333333,0,29.66666667,18.25,35.33333333,12.16666667,13.5,22,5.833333333,10.58333333,223.9166667,97.41666667,531.3333333
KR_14_CL_84_S,HABIL,34,71518,11,11.25,10.58333333,0,35.91666667,0,27.25,17.5,35,13.5,11.08333333,20.08333333,9.25,12.25,244.5,99.83333333,548
KR_14_CL_84_S,HABIL,34,71518,12,11.66666667,11.58333333,0,34.75,0,26,17.33333333,33.08333333,15.08333333,13,15.58333333,6.25,12.25,265.8333333,98.5,560.9166667
KR_14_CL_84_S,HABIL,34,71518,13,14.5,10.5,0,33.25,0,24.66666667,17.66666667,38.33333333,15.16666667,11.58333333,18.33333333,9.916666667,10.58333333,268.25,107.3333333,580.0833333
KR_14_CL_84_S,HABIL,34,71518,14,16.08333333,11.41666667,0,32.33333333,0,27.25,18.33333333,34.08333333,13.58333333,10.75,17.58333333,8,12.25,265.1666667,103.6666667,570.5
KR_14_CL_84_S,HABIL,34,71518,15,19.25,11.33333333,0,31.83333333,0,28.08333333,18.66666667,38.91666667,16.08333333,12.75,19.66666667,11.25,9.916666667,266.3333333,113.1666667,597.25
KR_14_CL_84_S,HABIL,34,71518,16,15.58333333,10.75,0,36.25,0,28.66666667,18.83333333,36.16666667,14.08333333,10.58333333,15.33333333,8.583333333,12.66666667,259.3333333,118.1666667,585
KR_14_CL_84_S,HABIL,34,71518,17,6.333333333,16.91666667,0,37,0,29.75,20,37,11.33333333,6.25,6.416666667,9.166666667,14.08333333,288.25,180.4166667,662.9166667
KR_14_CL_84_S,HABIL,34,71518,18,3.166666667,19.66666667,0,39,0,24.58333333,17.41666667,26.16666667,10.16666667,2.583333333,2,12.16666667,10.66666667,259,209.3333333,635.9166667
KR_14_CL_84_S,HABIL,34,71518,19,14.16666667,22,0,36.41666667,0,29.16666667,18.83333333,23.66666667,9.5,5.75,11,10.41666667,10.5,275.5833333,189.1666667,656.1666667
KR_14_CL_84_S,HABIL,34,71518,20,18.5,22.5,0,35.5,0,32.58333333,16.16666667,26.08333333,7.75,8.916666667,14.91666667,5.666666667,11.08333333,279.1666667,143.25,622.0833333
L_AK_86_AC_17,NOHAB,15,75270,0,8.5,7,0.5,4.75,0,16.5,6.25,30.25,17,8.75,6.75,10.25,5,601.25,69.25,792
L_AK_86_AC_17,NOHAB,15,75270,1,7,2,0,0.75,0,1.5,2,36.5,14.5,3.75,2.25,13.75,4,418.25,47.75,554
L_AK_86_AC_17,NOHAB,15,75270,2,8.5,0,0,2,0,2,1.25,45.5,20,5.75,4,15.5,3.25,397.5,37.75,543
L_AK_86_AC_17,NOHAB,15,75270,3,13.25,1.75,2.5,9.25,0,14.25,10.25,57.25,26.75,9.25,6.5,13.75,8.75,487.5,48,709
L_AK_86_AC_17,NOHAB,15,75270,4,19.25,6,0,37.5,0,29.75,33,80.75,34.75,16.5,16.25,31.5,43,634,116.25,1098.5
L_AK_86_AC_17,NOHAB,15,75270,5,36.25,4,0.5,64.25,0,38.5,82.75,135,34,29.75,21.5,42.25,99.75,1050.75,541.75,2181
L_AK_86_AC_17,NOHAB,15,75270,6,29.25,5.5,0,62.25,0,51,83.5,149.25,68.5,33.75,21,41.5,116.75,1473.25,955.5,3091
L_AK_86_AC_17,NOHAB,15,75270,7,24.5,5.25,0,59.75,0,47,72.25,207,59,33.5,22.75,30.75,107.75,1797.75,903,3370.25
L_AK_86_AC_17,NOHAB,15,75270,8,29,4.25,0,49.25,0,46.75,71.25,232,56.25,34.25,23.25,23.5,98.5,1829.25,662.25,3159.75
L_AK_86_AC_17,NOHAB,15,75270,9,30.5,4.25,0,50.75,0,40.25,59.5,245.5,53,41.75,27.5,16.5,74.5,1639.75,522.75,2806.5
L_AK_86_AC_17,NOHAB,15,75270,10,37.25,4.25,0,50.5,0,43.25,68,276,56.75,54.5,32.5,23,90.75,1792.25,549.75,3078.75
L_AK_86_AC_17,NOHAB,15,75270,11,36.25,5.5,0,50.25,0,47.25,69,249.75,52,67,26.75,25.5,79,2027,626.25,3361.5
L_AK_86_AC_17,NOHAB,15,75270,12,45.25,3.5,0,45,0,40,57.5,240,49,51.25,29.5,31.5,89,1903.25,752.75,3337.5
L_AK_86_AC_17,NOHAB,15,75270,13,40.25,2.75,0,47.75,0,40,64.25,229.25,46,41,33.75,33.75,102.25,1977.5,843.75,3502.25
L_AK_86_AC_17,NOHAB,15,75270,14,38.25,3.75,0,54.25,0,37.25,68,190,52.75,32.5,30.75,32.25,85.5,1966.75,797.25,3389.25
L_AK_86_AC_17,NOHAB,15,75270,15,34,3.75,0,55.25,0,37.25,63.25,159,37.75,25.5,24.25,23,89.75,1856.75,647.75,3057.25
L_AK_86_AC_17,NOHAB,15,75270,16,31.5,3.25,0,45.25,0,31.25,61,129.25,33.25,23.75,22.75,21.5,93,1839.25,607.75,2942.75
L_AK_86_AC_17,NOHAB,15,75270,17,23.75,3.75,0,53.5,0,42,66.75,102.75,29.75,21.5,22,31.5,94.5,1843,664.5,2999.25
