Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
AC_60A_S_KR_19C,HABIL,33,57083,0,11.93333333,7,1.288888889,1.155555556,0,3.2,0.955555556,27.51111111,7.288888889,7.955555556,4.666666667,7.755555556,24.08888889,212.4222222,62.75555556,379.9777778
AC_60A_S_KR_19C,HABIL,33,57083,1,12.11111111,0.133333333,0,0.266666667,0,1.355555556,2.066666667,27.46666667,8.866666667,8.822222222,6.844444444,9.622222222,15.44444444,139.0888889,36.08888889,268.1777778
AC_60A_S_KR_19C,HABIL,33,57083,2,14.31111111,0.133333333,0,0.177777778,0,2.2,1.755555556,31.55555556,9.066666667,11.06666667,6.777777778,4.844444444,15.62222222,132.5777778,29.04444444,259.1333333
AC_60A_S_KR_19C,HABIL,33,57083,3,24.24444444,3.933333333,3.733333333,6.444444444,0,5.644444444,7.422222222,45.24444444,17.51111111,16.71111111,16.51111111,9.688888889,33.44444444,237.7333333,51.13333333,479.4
AC_60A_S_KR_19C,HABIL,33,57083,4,35.51111111,25.06666667,22.8,20.75555556,0,12.62222222,22.33333333,65.2,26.6,22.04444444,18.02222222,41.06666667,121.7111111,372.6444444,149.2222222,955.6
AC_60A_S_KR_19C,HABIL,33,57083,5,14.75,28.80555556,27.02777778,61.91666667,3.111111111,21.63888889,36.97222222,44.58333333,12.16666667,30.61111111,12.52777778,64.13888889,7.555555556,695.5,507.3055556,1568.611111
AC_60A_S_KR_19C,HABIL,33,57083,6,3.888888889,31.83333333,36.05555556,57.94444444,4.972222222,26.58333333,40.86111111,52,13.83333333,23.22222222,4.444444444,64.91666667,8.888888889,835.7222222,1152.083333,2357.25
AC_60A_S_KR_19C,HABIL,33,57083,7,0.388888889,32.88888889,37.30555556,48.02777778,4.527777778,27.13888889,35.08333333,59.16666667,19.5,13.72222222,0.583333333,31.05555556,8.611111111,708.6944444,853.8611111,1880.555556
AC_60A_S_KR_19C,HABIL,33,57083,8,5.138888889,27.61111111,34.88888889,47.94444444,2.916666667,22.97222222,33.47222222,59.77777778,16.80555556,44.30555556,6.722222222,18.38888889,8.361111111,666.5,433.8611111,1429.666667
AC_60A_S_KR_19C,HABIL,33,57083,9,1.361111111,15.75,39.36111111,47.25,3,22.77777778,33.66666667,54.11111111,18.25,22.77777778,1.555555556,14.47222222,9.138888889,712.6388889,273.8611111,1269.972222
AC_60A_S_KR_19C,HABIL,33,57083,10,17.33333333,10.72222222,33.13888889,45.25,0.277777778,24.75,32.05555556,63.86111111,17.36111111,64.69444444,13.72222222,19.58333333,10.19444444,673.1944444,250.0833333,1276.222222
AC_60A_S_KR_19C,HABIL,33,57083,11,12.58333333,9.472222222,32.08333333,45.22222222,0.138888889,21.61111111,31.19444444,68.55555556,18.97222222,61.83333333,12.88888889,41.08333333,8.527777778,696.75,274,1334.916667
AC_60A_S_KR_19C,HABIL,33,57083,12,10.5,8.583333333,32.88888889,42.02777778,0,21.05555556,28.58333333,68.72222222,21.22222222,57.55555556,10.77777778,52.05555556,8.472222222,713.4444444,298.8611111,1374.75
AC_60A_S_KR_19C,HABIL,33,57083,13,13,9.416666667,33.47222222,42.63888889,0,21.97222222,32.02777778,74.69444444,32.94444444,58.30555556,12.5,37.83333333,9.027777778,679.9166667,340.8333333,1398.583333
AC_60A_S_KR_19C,HABIL,33,57083,14,14.19444444,9.944444444,31.22222222,40.19444444,0,18.66666667,30.52777778,80.97222222,40.16666667,56.72222222,13.80555556,32.72222222,9.888888889,736,316.1666667,1431.194444
AC_60A_S_KR_19C,HABIL,33,57083,15,16.77777778,9.833333333,33.75,39.25,0.138888889,19.80555556,29.16666667,83.58333333,33.63888889,54.38888889,16.72222222,33.19444444,8.833333333,631.6388889,319.3055556,1330.027778
AC_60A_S_KR_19C,HABIL,33,57083,16,13.02777778,11,39.38888889,38.80555556,1.777777778,20.63888889,29.61111111,80.94444444,36.88888889,52.47222222,14.5,34.72222222,11.33333333,638.9722222,385.6388889,1409.722222
AC_60A_S_KR_19C,HABIL,33,57083,17,3.472222222,12.94444444,37.30555556,44.77777778,2.944444444,21.44444444,36.5,70.30555556,28.25,30,3.583333333,39.38888889,12.30555556,706.5,644.3611111,1694.083333
AC_60A_S_KR_19C,HABIL,33,57083,18,0.527777778,16.61111111,38.11111111,45.44444444,3.611111111,21.11111111,32.16666667,56.33333333,20.41666667,14.47222222,0.527777778,58.36111111,13.19444444,730.2222222,727.1388889,1778.25
AC_60A_S_KR_19C,HABIL,33,57083,19,11.05555556,19.08333333,34.52777778,50,3.527777778,22.94444444,30.08333333,47.38888889,19.80555556,14.19444444,10.61111111,34.83333333,12.5,762.6388889,531.2777778,1604.472222
AC_60A_S_KR_19C,HABIL,33,57083,20,21.25,19.27777778,40.83333333,53.80555556,6,29.61111111,32.08333333,42.61111111,14.19444444,13.91666667,12.83333333,13.22222222,10.61111111,740.5277778,349.7777778,1400.555556
