Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
AK_86_AC_43_S,HABIL,22,33144,0,0.53968254,8.658730159,1.428571429,3.317460317,0.206349206,6.325396825,4.428571429,2.984126984,2.063492063,1.19047619,0.30952381,7.198412698,0.317460317,150.6111111,35.9047619,225.484127
AK_86_AC_43_S,HABIL,22,33144,1,0.857142857,0.222222222,0.444444444,1.031746032,0.047619048,1.658730159,0.904761905,5.428571429,3.095238095,0.920634921,0.468253968,7.30952381,0.420634921,122.4920635,20.56349206,165.8650794
AK_86_AC_43_S,HABIL,22,33144,2,1.936507937,1,0.285714286,1.174603175,0.047619048,1.531746032,1.19047619,7.492063492,5.095238095,1.365079365,0.666666667,4.571428571,0.206349206,131.3333333,14.84920635,172.7460317
AK_86_AC_43_S,HABIL,22,33144,3,3.158730159,16.05555556,1.333333333,7.261904762,0.103174603,4.03968254,7.412698413,13.96825397,7.396825397,2.674603175,1.579365079,6.484126984,1.357142857,192.2857143,27.29365079,292.4047619
AK_86_AC_43_S,HABIL,22,33144,4,5.349206349,19.11904762,10.80952381,24.53968254,4.666666667,15.79365079,23.83333333,18.15873016,9.103174603,6.174603175,2.174603175,35.74603175,6.634920635,254.531746,94.30952381,530.9444444
AK_86_AC_43_S,HABIL,22,33144,5,5.507936508,21.01587302,26.00793651,30.46031746,7.285714286,22.42063492,28.38888889,21.03968254,10.49206349,4.920634921,2.904761905,34.99206349,6.158730159,342.5,361.6111111,925.7063492
AK_86_AC_43_S,HABIL,22,33144,6,0.746031746,16.82539683,34.12698413,26.23809524,7.547619048,23.47619048,30.58730159,30.72222222,11.21428571,3.682539683,0.880952381,19.86507937,4.714285714,349.7380952,623.5238095,1183.888889
AK_86_AC_43_S,HABIL,22,33144,7,0.650793651,18.99206349,30.53174603,24.88095238,5.841269841,23.95238095,29.41269841,32.46825397,13.6031746,2.579365079,0.111111111,17.20634921,5.722222222,299.8333333,545.8412698,1051.626984
AK_86_AC_43_S,HABIL,22,33144,8,1.047619048,17.76190476,30.27777778,24.55555556,7.80952381,21.6984127,30.53174603,35.61904762,15.23809524,5.619047619,0.833333333,10.76190476,5.912698413,341.1269841,320.547619,869.3412698
AK_86_AC_43_S,HABIL,22,33144,9,0.388888889,14.85714286,27.14285714,23.63492063,2.817460317,25.68253968,29.51587302,33.53174603,15.14285714,2.5,0.30952381,6.984126984,4.880952381,387.7301587,230.4444444,805.5634921
AK_86_AC_43_S,HABIL,22,33144,10,2.976190476,11.36507937,21.02380952,22.61904762,1.134920635,21.51587302,28.61904762,37.49206349,16.1031746,7.420634921,2.785714286,9.904761905,4.515873016,376.6666667,199.6984127,763.8412698
