USO,Cs_Hetero,LON,CIV,IDNodo,ESTADO,COL,TARGET_FID,FID_LINK,TIPO_CLA_1,NOMBRE_EJE,Input_FID1,ELEM,IDEstacion,IDW_Cs,Input_FID,ESTACION,ROW,Value_Min,FID_Grilla,NOMBRE_EXT,Cs_Homog,Classes,Shape_Leng,NOMBRE_E_1,OBJECTID_5,CLASIFI_SU,Largo_Via,OBJECTID_2,ORIG_FID,CODIGO_LOC,LAT,Value_Max,hora,>C5,AL,B,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL,NH_>C5,NH_AL,NH_B,NH_BT,NH_C,NH_C2G,NH_C2P,NH_C3-C4,NH_C5,NH_ESP,NH_INT,NH_L,NH_M,NH_TOTAL,PPH,PPNH,FEHPM10,FEHPM25,FENHPM10,FENHPM25,FAH,FANH,EHPM10,EHPM25,ENHPM10,ENHPM25
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,0,1.452,0.924,0.528,1.848,0.088,4.0773333326,1.04133333326,0.76266666674,1.1,1.74533333326,0.41066666674,44.132,6.336,64.885333326,1.452,1.50333333326,0.25666666674,1.65,0.03666666674,3.4833333326,0.58666666674,0.62333333326,0.58666666674,2.3833333326,0.40333333326,130.46,8.8366666674,153.34,4.437,2.649,4.129,1.598,2.663,0.944,16.791,39.671,69.33,26.836,105.644,37.459
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,1,1.496,0.01466666674,0.19066666674,0.924,0.044,2.86,0.924,0.80666666674,0.836,1.452,0.22,23.452,3.3293333326,36.578666674,1.496,0.0,0.22,0.44,0.03666666674,3.74,0.58666666674,0.44,0.55,1.79666666674,0.36666666674,98.266666674,7.81,115.83,5.587,2.694,5.022,2.022,2.702,0.961,9.523,30.164,47.826,19.252,81.496,28.98
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,2,1.584,0.0,0.10266666674,0.67466666674,0.0,2.7426666674,1.76,1.012,0.85066666674,1.32,0.484,19.1693333326,2.5226666674,32.266666674,1.584,0.0,0.03666666674,0.40333333326,0.11,3.1166666674,1.1,0.88,0.40333333326,1.68666666674,0.40333333326,93.83,5.7933333326,109.23,6.484,2.821,5.7,2.353,2.81,1.007,8.396,28.488,47.852,19.756,80.051,28.691
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,3,2.5373333326,0.528,0.44,0.85066666674,0.088,3.8573333326,1.628,1.496,1.30533333326,1.232,0.54266666674,24.918666674,2.9333333326,42.416,2.5373333326,0.0,0.22,0.44,0.07333333326,3.41,0.99,0.77,0.88,1.54,0.33,93.353333326,7.04,111.356666674,7.295,3.25,6.301,2.654,3.169,1.163,11.036,29.072,69.534,29.289,92.129,33.824
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,4,4.7813333326,2.00933333326,3.608,3.1826666674,0.968,8.5213333326,3.4026666674,3.124,2.42,11.0,2.3466666674,55.748,7.0986666674,110.293333326,4.7813333326,1.24666666674,1.54,2.2,0.62333333326,5.39,2.2733333326,2.09,1.43,2.8966666674,2.01666666674,80.85,5.6466666674,112.64,7.173,5.306,6.211,2.609,4.807,1.918,28.194,29.439,175.117,73.553,141.52,56.472
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,5,4.9426666674,3.2706666674,8.5946666674,5.4413333326,2.5666666674,20.9586666674,6.2186666674,5.5733333326,3.3733333326,49.06,5.4706666674,284.9,36.96,445.324,4.9426666674,2.5666666674,6.27,3.7033333326,1.94333333326,11.1466666674,4.29,3.85,2.09,6.6366666674,3.9233333326,139.883333326,22.953333326,218.68,4.222,4.65,3.958,1.519,4.297,1.676,113.946,55.807,450.992,173.102,239.778,93.556
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,6,0.67466666674,2.8893333326,10.1493333326,5.236,2.86,15.1066666674,6.7026666674,2.4346666674,0.64533333326,80.226666674,5.5,507.804,103.825333326,760.86266674,0.67466666674,1.68666666674,8.9466666674,3.7033333326,2.8966666674,15.0333333326,6.38,3.1533333326,1.21,10.7433333326,5.17,325.45333326,53.496666674,449.9,2.805,2.737,2.796,1.001,2.739,0.977,193.863,114.261,541.977,194.052,312.935,111.584
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,7,0.20533333326,2.552,10.6773333326,5.456,3.1533333326,12.6866666674,5.2653333326,1.11466666674,0.11733333326,41.638666674,6.7173333326,375.83333326,107.653333326,597.476,0.20533333326,1.13666666674,6.1233333326,3.8133333326,2.5666666674,14.52,3.96,2.4566666674,1.21,8.4333333326,5.0966666674,404.10333326,58.703333326,531.3,2.585,2.353,2.609,0.921,2.408,0.837,149.313,133.487,389.5,137.54,321.417,111.695
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,8,0.51333333326,2.2146666674,11.1906666674,6.2773333326,2.7573333326,17.0426666674,8.6093333326,3.9306666674,0.49866666674,27.192,7.8026666674,421.79866674,83.174666674,616.82133326,0.51333333326,0.84333333326,7.48,3.96,2.2733333326,16.0966666674,4.7666666674,3.1533333326,1.1,7.0766666674,5.06,440.95333326,50.93,563.05333326,2.719,2.41,2.723,0.97,2.458,0.858,154.506,141.791,420.781,149.871,348.489,121.601
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,9,0.99733333326,1.73066666674,10.1346666674,6.9373333326,2.5373333326,18.0693333326,7.9346666674,2.508,0.71866666674,10.1786666674,5.632,447.31866674,64.665333326,599.148,0.99733333326,0.99,6.1233333326,3.3733333326,2.3466666674,16.2066666674,6.4166666674,2.4566666674,1.13666666674,5.9766666674,4.9133333326,436.26,41.69,544.86666674,2.51,2.418,2.544,0.894,2.465,0.861,150.952,137.804,384.026,134.928,339.672,118.593
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,10,4.224,1.56933333326,9.6653333326,5.4413333326,2.8013333326,27.558666674,8.712,6.952,2.332,9.988,6.6733333326,462.41066674,66.44,631.488,4.224,1.02666666674,5.3166666674,3.4833333326,2.05333333326,14.74,5.7566666674,2.09,0.62333333326,5.4633333326,4.62,487.37333326,47.226666674,592.79,3.035,2.444,2.99,1.085,2.487,0.87,160.177,152.158,478.855,173.765,378.449,132.37
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,11,3.652,1.716,8.7706666674,4.5613333326,2.6106666674,25.505333326,7.832,5.0453333326,1.55466666674,10.3693333326,5.9693333326,452.804,66.366666674,612.89066674,3.652,1.39333333326,5.7933333326,6.05,1.94333333326,15.73,5.4633333326,2.2,0.99,6.6366666674,3.5933333326,476.63,47.3,585.45666674,2.848,2.491,2.833,1.017,2.527,0.887,155.485,150.431,440.428,158.107,380.203,133.41
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,12,2.992,1.936,8.2426666674,5.06,2.6106666674,22.058666674,9.3426666674,5.5586666674,2.5226666674,15.4,6.4386666674,451.352,63.961333326,613.33066674,2.992,1.32,5.72,4.9133333326,1.98,12.1,3.96,1.94333333326,0.77,5.7933333326,4.4,421.48333326,60.573333326,538.34,2.919,2.4,2.892,1.043,2.449,0.854,155.672,137.552,450.266,162.315,336.809,117.437
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,13,4.2093333326,1.70133333326,8.58,5.2066666674,2.5226666674,23.701333326,6.6146666674,5.4706666674,1.21733333326,24.170666674,6.4533333326,480.084,62.465333326,647.91466674,4.2093333326,1.02666666674,5.5733333326,3.7766666674,2.01666666674,13.4933333326,3.5933333326,2.42,1.39333333326,7.6266666674,4.95,470.94666674,63.726666674,594.55,2.951,2.476,2.919,1.054,2.515,0.882,164.77,152.359,481.035,173.73,383.208,134.334
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,14,3.696,1.64266666674,8.1986666674,4.884,2.7426666674,23.437333326,8.9613333326,5.1626666674,1.48133333326,35.170666674,5.0893333326,504.548,62.949333326,684.772,3.696,1.21,4.9866666674,3.4833333326,1.76,8.8366666674,3.74,2.3466666674,1.06333333326,5.3533333326,5.4633333326,454.55666674,58.52,565.4,2.928,2.393,2.9,1.046,2.443,0.851,174.037,144.61,504.765,182.061,353.222,123.1
