USO,Cs_Hetero,LON,CIV,IDNodo,ESTADO,COL,TARGET_FID,FID_LINK,TIPO_CLA_1,NOMBRE_EJE,Input_FID1,ELEM,IDEstacion,IDW_Cs,Input_FID,ESTACION,ROW,Value_Min,FID_Grilla,NOMBRE_EXT,Cs_Homog,Classes,Shape_Leng,NOMBRE_E_1,OBJECTID_5,CLASIFI_SU,Largo_Via,OBJECTID_2,ORIG_FID,CODIGO_LOC,LAT,Value_Max,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL,NH_>C5,NH_AL,NH_AT,NH_B,NH_BA,NH_BT,NH_C,NH_C2G,NH_C2P,NH_C3-C4,NH_C5,NH_ESP,NH_INT,NH_L,NH_M,NH_TOTAL
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,10,4.224,1.56933333326,14.5346666674,9.6653333326,2.18533333326,5.4413333326,2.8013333326,27.558666674,8.712,6.952,2.332,9.988,6.6733333326,462.41066674,66.44,631.488,4.224,1.02666666674,9.6433333326,5.3166666674,0.77,3.4833333326,2.05333333326,14.74,5.7566666674,2.09,0.62333333326,5.4633333326,4.62,487.37333326,47.226666674,592.79
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,11,3.652,1.716,14.0946666674,8.7706666674,2.03866666674,4.5613333326,2.6106666674,25.505333326,7.832,5.0453333326,1.55466666674,10.3693333326,5.9693333326,452.804,66.366666674,612.89066674,3.652,1.39333333326,8.58,5.7933333326,0.73333333326,6.05,1.94333333326,15.73,5.4633333326,2.2,0.99,6.6366666674,3.5933333326,476.63,47.3,585.45666674
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,12,2.992,1.936,14.08,8.2426666674,1.77466666674,5.06,2.6106666674,22.058666674,9.3426666674,5.5586666674,2.5226666674,15.4,6.4386666674,451.352,63.961333326,613.33066674,2.992,1.32,9.6066666674,5.72,0.99,4.9133333326,1.98,12.1,3.96,1.94333333326,0.77,5.7933333326,4.4,421.48333326,60.573333326,538.34
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,13,4.2093333326,1.70133333326,13.8746666674,8.58,1.64266666674,5.2066666674,2.5226666674,23.701333326,6.6146666674,5.4706666674,1.21733333326,24.170666674,6.4533333326,480.084,62.465333326,647.91466674,4.2093333326,1.02666666674,10.1933333326,5.5733333326,0.88,3.7766666674,2.01666666674,13.4933333326,3.5933333326,2.42,1.39333333326,7.6266666674,4.95,470.94666674,63.726666674,594.55
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,14,3.696,1.64266666674,15.0333333326,8.1986666674,1.77466666674,4.884,2.7426666674,23.437333326,8.9613333326,5.1626666674,1.48133333326,35.170666674,5.0893333326,504.548,62.949333326,684.772,3.696,1.21,10.67,4.9866666674,0.95333333326,3.4833333326,1.76,8.8366666674,3.74,2.3466666674,1.06333333326,5.3533333326,5.4633333326,454.55666674,58.52,565.4
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,15,3.7106666674,1.74533333326,15.488,8.8586666674,2.00933333326,5.0306666674,2.6253333326,24.977333326,8.8,5.3973333326,1.24666666674,72.336,5.2506666674,446.688,72.189333326,676.35333326,3.7106666674,1.24666666674,11.2566666674,5.61,0.91666666674,4.2533333326,1.94333333326,10.0466666674,6.0866666674,2.01666666674,2.5666666674,6.7466666674,5.72,550.80666674,59.73,672.28333326
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,16,2.86,2.6546666674,17.776,9.724,2.4933333326,5.544,2.6546666674,25.446666674,7.964,5.016,1.08533333326,59.869333326,5.28,453.09733326,86.724,688.18933326,2.86,1.13666666674,8.8733333326,4.8766666674,0.91666666674,3.3733333326,1.72333333326,7.1866666674,4.4,1.46666666674,1.28333333326,5.1333333326,5.61,565.87666674,58.043333326,671.99
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,17,0.45466666674,2.948,19.4626666674,8.2573333326,2.816,6.4093333326,2.64,19.0226666674,5.3533333326,2.464,0.396,40.186666674,5.1333333326,498.57866674,123.493333326,737.616,0.45466666674,1.13666666674,10.0833333326,4.4,0.91666666674,2.75,1.79666666674,6.4166666674,4.4733333326,1.1,1.21,4.2166666674,5.2066666674,552.86,57.42,655.63666674
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,18,0.16133333326,2.42,15.7666666674,7.0693333326,3.0506666674,5.8226666674,2.6986666674,13.904,4.4146666674,1.15866666674,0.10266666674,22.806666674,5.6173333326,497.39066674,91.886666674,674.27066674,0.16133333326,1.39333333326,10.45,4.7666666674,0.62333333326,3.4466666674,1.90666666674,4.9133333326,3.08,0.36666666674,0.80666666674,4.3633333326,5.06,555.90333326,45.246666674,643.86666674
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,19,2.6546666674,2.7573333326,14.0506666674,6.7173333326,3.2413333326,6.3506666674,2.42,11.792,2.4786666674,1.61333333326,0.85066666674,9.6066666674,4.532,513.31866674,55.733333326,638.11733326,2.6546666674,1.21,9.7533333326,3.96,0.84333333326,3.4833333326,1.94333333326,5.39,3.6666666674,0.69666666674,0.99,4.6566666674,4.7666666674,539.62333326,41.176666674,623.51666674
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,20,3.256,2.8893333326,12.7453333326,6.336,3.124,6.6146666674,2.024,9.4746666674,1.99466666674,1.33466666674,0.76266666674,5.192,3.5933333326,474.628,43.457333326,577.42666674,3.256,1.32,8.91,3.0433333326,0.84333333326,3.52,1.79666666674,3.0066666674,2.7133333326,0.66,0.80666666674,4.3266666674,3.96,480.81,38.463333326,555.83
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,21,2.552,1.92133333326,12.2173333326,4.2533333326,3.0946666674,5.9253333326,2.05333333326,8.6533333326,1.48133333326,0.88,1.37866666674,3.476,2.3466666674,370.09866674,41.697333326,462.02933326,2.552,1.43,7.8833333326,2.53,0.88,3.5566666674,1.39333333326,2.16333333326,1.32,0.62333333326,0.33,3.3733333326,2.2733333326,385.0,32.633333326,446.49
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,22,1.87733333326,3.08,7.04,2.3026666674,2.14133333326,5.4853333326,1.32,5.8666666674,1.46666666674,0.82133333326,1.232,3.4906666674,1.672,198.161333326,30.404,266.36133326,1.87733333326,2.7133333326,6.6733333326,1.90666666674,1.72333333326,4.0333333326,1.13666666674,5.17,1.17333333326,1.24666666674,1.13666666674,4.07,1.76,289.00666674,27.39,350.97333326
Rural,8.3,-74.07196,11012470.0,3493.0,REGULAR,37.0,2726.0,2989.0,3.0,,3365.0,24102909.0,1.0,2.53435,0.0,AK_45_X_AC_170,52.0,1.91516077028,3279.0,,0.1,6.0,414919.53087,,11468.0,Local,260.549,2727.0,2974.0,11,4.818237,3.15354458664,23,2.068,1.584,3.5933333326,0.748,0.24933333326,5.2653333326,0.38133333326,4.5026666674,1.21733333326,0.924,1.20266666674,1.87733333326,0.792,88.396,10.9853333326,123.786666674,2.068,2.2,3.0433333326,0.73333333326,0.36666666674,4.4733333326,0.36666666674,4.3633333326,0.99,0.55,0.80666666674,2.8233333326,0.77,191.106666674,16.0233333326,230.96333326
