FID_Datos_,OBJECTID_2,TARGET_FID,OBJECTID_4,OBJECTID,CIV,ELEM,CODIGO_LOC,TIPO_CLA_1,NOMBRE_EJE,NOMBRE_EXT,NOMBRE_E_1,CLASIFI_SU,Estado20_1,Shape_Leng,Classes,Classes_1,Classes_12,IDW_Cs,CK_DNH_Cs,CK_DH_Cs,ESTACION,IDNodo,IDEstacion,FID_Grilla,Input_FID_,ROW,COL,LAT_1,LON_1,ORIG_FID,Largo_Via,FID_LINK
329.0,330.0,329.0,3344.0,3567.0,1001607.0,24079321.0,11,1.0,AK 45,CL 162,CL 163,Troncal,REGULAR,70.8496275159,4.0,4.0,4.0,0.935885,0.935885,0.935885,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,368.0,70.8496,370.0
339.0,340.0,339.0,3405.0,3761.0,1002070.0,24009472.0,1,1.0,AK 45,CL 156,CL 159,Troncal,REGULAR,70.4607748718,5.0,4.0,4.0,1.53948,0.935885,0.935885,AK_45_X_AC_170,3493.0,1.0,2850.0,2792.0,43.0,40.0,4.737564,-74.044975,378.0,70.4608,380.0
354.0,355.0,354.0,3516.0,4112.0,1001376.0,24088526.0,11,1.0,AK 45,CL 167A,CL 168,Troncal,REGULAR,83.7711248506,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,394.0,83.7711,396.0
541.0,542.0,541.0,7366.0,5491.0,50007322.0,24066648.0,11,1.0,AK 45,CL 165,CL 166,Troncal,REGULAR,105.280706406,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,608.0,105.281,610.0
556.0,557.0,556.0,7416.0,5665.0,1001499.0,24006359.0,11,1.0,AK 45,CL 164,CL 165,Troncal,REGULAR,71.8612264469,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,627.0,71.8612,629.0
562.0,563.0,562.0,7448.0,5750.0,1006251.0,24006016.0,11,1.0,AK 45,AC 153,,Troncal,REGULAR,38.0118427881,5.0,5.0,4.0,1.53948,1.53948,0.935885,AK_45_X_AC_170,3493.0,1.0,2850.0,2792.0,43.0,40.0,4.737564,-74.044975,634.0,38.0118,636.0
565.0,566.0,565.0,7469.0,5822.0,1006255.0,24092961.0,11,1.0,AK 45,CL 163A,CL 163B,Troncal,REGULAR,48.310231243,4.0,4.0,3.0,0.935885,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,638.0,48.3102,640.0
614.0,615.0,614.0,7804.0,7053.0,1006415.0,24005923.0,1,1.0,AK 45,AC 153,AC 153,Troncal,REGULAR,36.5059875905,5.0,5.0,4.0,1.53948,1.53948,0.935885,AK_45_X_AC_170,3493.0,1.0,2850.0,2792.0,43.0,40.0,4.737564,-74.044975,694.0,36.506,696.0
642.0,643.0,642.0,7984.0,7708.0,1006416.0,24118703.0,11,1.0,AK 45,AC 153,AC 153,Troncal,REGULAR,30.6325900902,5.0,5.0,4.0,1.53948,1.53948,0.935885,AK_45_X_AC_170,3493.0,1.0,2850.0,2792.0,43.0,40.0,4.737564,-74.044975,725.0,30.6326,727.0
645.0,646.0,645.0,7999.0,7751.0,1001350.0,24009550.0,11,1.0,AK 45,DG 169,CL 169,Troncal,REGULAR,56.9976291703,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,728.0,56.9976,730.0
654.0,655.0,654.0,8032.0,7861.0,1001682.0,24079322.0,11,1.0,AK 45,CL 161A,CL 162,Troncal,REGULAR,74.0109539357,4.0,4.0,4.0,0.935885,0.935885,0.935885,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,738.0,74.011,740.0
682.0,683.0,682.0,8387.0,9102.0,1001558.0,24008294.0,11,1.0,AK 45,CL 163,CL 163A,Troncal,REGULAR,67.9891701769,4.0,4.0,3.0,0.935885,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,769.0,67.9892,771.0
703.0,704.0,703.0,83049.0,83445.0,1006379.0,24061009.0,1,1.0,AK 45,,,Troncal,REGULAR,21.7723681469,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,2849.0,2856.0,44.0,40.0,4.746536,-74.044975,790.0,21.7724,792.0
703.0,704.0,703.0,83049.0,83445.0,1006379.0,24061009.0,1,1.0,AK 45,,,Troncal,REGULAR,18.0140753875,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,3014.0,2920.0,45.0,40.0,4.755493,-74.044975,791.0,18.0141,793.0
705.0,706.0,705.0,83295.0,84403.0,1006380.0,24008497.0,1,1.0,AK 45,,,Troncal,REGULAR,48.7074712881,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,3014.0,2920.0,45.0,40.0,4.755493,-74.044975,794.0,48.7075,796.0
708.0,709.0,708.0,84833.0,86424.0,1001273.0,24009196.0,1,1.0,AK 45,CL 175,CL 176,Troncal,REGULAR,96.8122671114,3.0,4.0,4.0,0.56967,0.935885,0.935885,AK_45_X_AC_170,3493.0,1.0,3014.0,2920.0,45.0,40.0,4.755493,-74.044975,797.0,96.8123,799.0
719.0,720.0,719.0,92363.0,92253.0,1001242.0,24005574.0,1,1.0,AK 45,CL 176,DG 182,Troncal,REGULAR,126.817619302,3.0,4.0,4.0,0.56967,0.935885,0.935885,AK_45_X_AC_170,3493.0,1.0,3014.0,2920.0,45.0,40.0,4.755493,-74.044975,809.0,126.818,811.0
721.0,722.0,721.0,94642.0,95633.0,1006253.0,24099471.0,1,1.0,AK 45,CL 172A,CL 174B,Troncal,REGULAR,187.163528871,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,3014.0,2920.0,45.0,40.0,4.755493,-74.044975,811.0,187.164,813.0
734.0,735.0,734.0,102968.0,104322.0,1001309.0,24007295.0,1,1.0,AK 45,CL 171,CL 172A,Troncal,REGULAR,42.4610726973,3.0,4.0,3.0,0.56967,0.935885,0.56967,AK_45_X_AC_170,3493.0,1.0,3014.0,2920.0,45.0,40.0,4.755493,-74.044975,826.0,42.4611,828.0
745.0,746.0,745.0,107610.0,108056.0,1001147.0,24005705.0,1,1.0,AK 45,DG 182,,Troncal,BUENO,157.856049508,4.0,4.0,4.0,0.935885,0.935885,0.935885,AK_45_X_AC_170,3493.0,1.0,3014.0,2920.0,45.0,40.0,4.755493,-74.044975,837.0,157.856,839.0
760.0,761.0,760.0,111964.0,113573.0,1006376.0,24009195.0,1,1.0,AK 45,CL 174B,CL 175,Troncal,REGULAR,88.2593375469,3.0,4.0,4.0,0.56967,0.935885,0.935885,AK_45_X_AC_170,3493.0,1.0,3014.0,2920.0,45.0,40.0,4.755493,-74.044975,853.0,88.2593,855.0
