Classes_1,CIV,IDNodo,COL,CK_DNH_Cs,TARGET_FID,Estado20_1,TIPO_CLA_1,NOMBRE_EJE,ELEM,IDEstacion,IDW_Cs,ESTACION,LON_1,ROW,CK_DH_Cs,Input_FID_,OBJECTID,FID_Grilla,NOMBRE_EXT,Classes,Shape_Leng,NOMBRE_E_1,OBJECTID_4,CLASIFI_SU,Largo_Via,OBJECTID_2,ORIG_FID,Classes_12,FID_LINK,CODIGO_LOC,LAT_1,hora,AT,BA,NH_AT,NH_BA,PPH,PPNH,FEHPM10,FEHPM25,FENHPM10,FENHPM25,FAH,FANH,EHPM10,EHPM25,ENHPM10,ENHPM25
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,12,64,8.066666667,43.66666667,4.5,31.33,31.12,11.078,4.74,11.015,4.708,3.483,2.327,38.588,16.51,25.634,10.955
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,13,63.06666667,7.466666667,46.33333333,4,31.29,30.95,11.066,4.734,10.964,4.681,3.406,2.431,37.691,16.123,26.659,11.383
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,14,68.33333333,8.066666667,48.5,4.333333333,31.27,30.98,11.06,4.731,10.973,4.686,3.691,2.552,40.823,17.461,28.006,11.96
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,15,70.4,9.133333333,51.16666667,4.166666667,31.39,30.9,11.096,4.749,10.949,4.674,3.841,2.673,42.617,18.241,29.272,12.495
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,16,80.8,11.33333333,40.33333333,4.166666667,31.49,31.12,11.126,4.765,11.015,4.708,4.449,2.15,49.506,21.2,23.681,10.121
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,17,88.46666667,12.8,45.83333333,4.166666667,31.51,31.0,11.132,4.768,10.979,4.689,4.894,2.416,54.48,23.333,26.52,11.327
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,18,71.66666667,13.86666667,47.5,2.833333333,31.96,30.67,11.267,4.837,10.88,4.638,4.131,2.431,46.54,19.981,26.453,11.278
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,19,63.86666667,14.73333333,44.33333333,3.833333333,32.25,30.95,11.354,4.882,10.964,4.681,3.797,2.327,43.114,18.538,25.509,10.892
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,20,57.93333333,14.2,40.5,3.833333333,32.38,31.04,11.393,4.902,10.991,4.695,3.483,2.142,39.684,17.075,23.539,10.055
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,21,55.53333333,14.06666667,35.83333333,4,32.43,31.21,11.408,4.91,11.042,4.722,3.362,1.924,38.359,16.509,21.248,9.085
